TYPE,METRIC,TAG
AUROC,0.7916666269302368,ATTN
AUPRC,1.0,ATTN
AUROC,0.800000011920929,ATTN
AUPRC,0.8035714626312256,ATTN
AUROC,1.0,ATTN
AUPRC,1.0,ATTN
AUROC,1.0,ATTN
AUPRC,1.0,ATTN
AUROC,0.952380895614624,ATTN
AUPRC,1.0,ATTN
AUROC,0.6666666865348816,ATTN
AUPRC,0.7142857313156128,ATTN
AUROC,0.75,ATTN
AUPRC,,ATTN
AUROC,0.7400000095367432,ATTN
AUPRC,1.0,ATTN
AUROC,0.8333333134651184,ATTN
AUPRC,,ATTN
AUROC,0.9999999403953552,ATTN
AUPRC,1.0,ATTN
AUROC,0.8400000333786011,ATTN
AUPRC,0.9055556058883668,ATTN
AUROC,0.8600000143051147,ATTN
AUPRC,1.0,ATTN
AUROC,1.0,ATTN
AUPRC,,ATTN
AUROC,0.6666666269302368,ATTN
AUPRC,0.8600000143051147,ATTN
AUROC,0.7916666269302368,ATTN
AUPRC,1.0,ATTN
AUROC,0.7599999904632568,ATTN
AUPRC,0.8187500238418579,ATTN
AUROC,0.75,ATTN
AUPRC,,ATTN
AUROC,0.6666666269302368,ATTN
AUPRC,0.8611111640930176,ATTN
AUROC,0.8095238208770752,ATTN
AUPRC,,ATTN
AUROC,0.625,ATTN
AUPRC,0.7879761457443237,ATTN
AUROC,0.5833333134651184,ATTN
AUPRC,0.824999988079071,ATTN
AUROC,0.7200000286102295,ATTN
AUPRC,0.686904788017273,ATTN
AUROC,0.8958333134651184,ATTN
AUPRC,,ATTN
AUROC,0.875,ATTN
AUPRC,1.0,ATTN
AUROC,0.8399999737739563,ATTN
AUPRC,0.949999988079071,ATTN
AUROC,0.9285714030265808,ATTN
AUPRC,0.875,ATTN
AUROC,0.6399999856948853,ATTN
AUPRC,0.7749999761581421,ATTN
AUROC,0.8095238208770752,ATTN
AUPRC,0.75,ATTN
AUROC,0.8200000524520874,ATTN
AUPRC,0.856249988079071,ATTN
AUROC,0.7916666865348816,ATTN
AUPRC,1.0,ATTN
AUROC,0.875,ATTN
AUPRC,0.8999999761581421,ATTN
AUROC,0.7916666269302368,ATTN
AUPRC,0.8633333444595337,ATTN
AUROC,0.6399999856948853,ATTN
AUPRC,,ATTN
AUROC,0.75,ATTN
AUPRC,,ATTN
AUROC,0.7083333730697632,ATTN
AUPRC,0.9270833730697632,ATTN
AUROC,0.7916666269302368,ATTN
AUPRC,,ATTN
AUROC,0.7708333730697632,ATTN
AUPRC,0.8857142925262451,ATTN
AUROC,0.6875,ATTN
AUPRC,0.7767857313156128,ATTN
AUROC,0.738095223903656,ATTN
AUPRC,1.0,ATTN
AUROC,0.78125,ATTN
AUPRC,,ATTN
AUROC,0.8571428060531616,ATTN
AUPRC,1.0,ATTN
AUROC,0.7857142686843872,ATTN
AUPRC,0.862500011920929,ATTN
AUROC,0.9800000190734864,ATTN
AUPRC,1.0,ATTN
AUROC,0.8095238208770752,ATTN
AUPRC,,ATTN
AUROC,0.761904776096344,ATTN
AUPRC,0.625,ATTN
AUROC,0.8571428060531616,ATTN
AUPRC,1.0,ATTN
AUROC,0.8333333134651184,ATTN
AUPRC,1.0,ATTN
AUROC,0.7599999904632568,ATTN
AUPRC,0.824999988079071,ATTN
AUROC,0.9799999594688416,ATTN
AUPRC,1.0,ATTN
AUROC,0.9523809552192688,ATTN
AUPRC,0.875,ATTN
AUROC,0.7142857313156128,ATTN
AUPRC,0.9791666269302368,ATTN
AUROC,0.9375,ATTN
AUPRC,1.0,ATTN
AUROC,0.75,ATTN
AUPRC,,ATTN
AUROC,0.7291666865348816,ATTN
AUPRC,0.8580951690673828,ATTN
AUROC,0.6399999856948853,ATTN
AUPRC,,ATTN
AUROC,0.8541666865348816,ATTN
AUPRC,1.0,ATTN
AUROC,0.9600000381469728,ATTN
AUPRC,1.0,ATTN
AUROC,0.7916666269302368,ATTN
AUPRC,,ATTN
AUROC,0.7083333134651184,ATTN
AUPRC,1.0,ATTN
AUROC,0.940000057220459,ATTN
AUPRC,0.9464285373687744,ATTN
AUROC,0.8095238208770752,ATTN
AUPRC,0.9375,ATTN
AUROC,0.7142857313156128,ATTN
AUPRC,,ATTN
AUROC,0.6000000238418579,ATTN
AUPRC,0.761904776096344,ATTN
AUROC,0.8600000143051147,ATTN
AUPRC,1.0,ATTN
AUROC,0.9047619104385376,ATTN
AUPRC,0.875,ATTN
AUROC,0.8799999952316284,ATTN
AUPRC,0.9083333015441896,ATTN
AUROC,0.875,ATTN
AUPRC,,ATTN
AUROC,0.800000011920929,ATTN
AUPRC,0.943750023841858,ATTN
AUROC,0.625,ATTN
AUPRC,,ATTN
AUROC,0.7708333134651184,ATTN
AUPRC,,ATTN
AUROC,0.875,ATTN
AUPRC,,ATTN
AUROC,0.8571428060531616,ATTN
AUPRC,1.0,ATTN
AUROC,0.9199999570846558,ATTN
AUPRC,1.0,ATTN
AUROC,0.8333333134651184,ATTN
AUPRC,0.9166666269302368,ATTN
AUROC,0.75,ATTN
AUPRC,,ATTN
AUROC,0.9600000381469728,ATTN
AUPRC,0.9027777910232544,ATTN
AUROC,0.8400000333786011,ATTN
AUPRC,0.8253968358039856,ATTN
AUROC,0.8333333730697632,ATTN
AUPRC,,ATTN
AUROC,0.875,ATTN
AUPRC,1.0,ATTN
AUROC,0.8125,ATTN
AUPRC,1.0,ATTN
AUROC,0.8125,ATTN
AUPRC,,ATTN
AUROC,0.7599999904632568,ATTN
AUPRC,0.8999999761581421,ATTN
AUROC,0.699999988079071,ATTN
AUPRC,0.875,ATTN
AUROC,0.75,ATTN
AUPRC,1.0,ATTN
AUROC,0.7916666269302368,ATTN
AUPRC,1.0,ATTN
AUROC,0.625,ATTN
AUPRC,0.826785683631897,ATTN
AUROC,0.90625,ATTN
AUPRC,,ATTN
AUROC,0.7000000476837158,ATTN
AUPRC,1.0,ATTN
AUROC,0.6666666865348816,ATTN
AUPRC,1.0,ATTN
AUROC,0.875,ATTN
AUPRC,1.0,ATTN
AUROC,0.7857142686843872,ATTN
AUPRC,,ATTN
AUROC,0.8799999952316284,ATTN
AUPRC,1.0,ATTN
AUROC,0.75,ATTN
AUPRC,0.8492063283920288,ATTN
AUROC,0.9600000381469728,ATTN
AUPRC,0.9055556058883668,ATTN
AUROC,0.959999978542328,ATTN
AUPRC,1.0,ATTN
AUROC,0.8541666269302368,ATTN
AUPRC,,ATTN
AUROC,0.7599999904632568,ATTN
AUPRC,0.8166666626930237,ATTN
AUROC,0.800000011920929,ATTN
AUPRC,0.8958333730697632,ATTN
AUROC,0.8600000143051147,ATTN
AUPRC,,ATTN
AUROC,0.9285714626312256,ATTN
AUPRC,1.0,ATTN
AUROC,0.5,COMB
AUPRC,0.699404776096344,COMB
AUROC,0.7200000286102295,COMB
AUPRC,0.8458333015441895,COMB
AUROC,0.6666666865348816,COMB
AUPRC,0.9216666221618652,COMB
AUROC,0.7142857313156128,COMB
AUPRC,0.7250000238418579,COMB
AUROC,0.8571428656578064,COMB
AUPRC,0.8930952548980713,COMB
AUROC,0.5833333730697632,COMB
AUPRC,0.5944444537162781,COMB
AUROC,0.6875,COMB
AUPRC,,COMB
AUROC,0.7599999904632568,COMB
AUPRC,0.824999988079071,COMB
AUROC,0.75,COMB
AUPRC,,COMB
AUROC,0.8571428656578064,COMB
AUPRC,1.0,COMB
AUROC,0.7599999904632568,COMB
AUPRC,0.7698413133621216,COMB
AUROC,0.7200000286102295,COMB
AUPRC,0.8458333015441895,COMB
AUROC,0.6875,COMB
AUPRC,,COMB
AUROC,0.875,COMB
AUPRC,1.0,COMB
AUROC,1.0,COMB
AUPRC,1.0,COMB
AUROC,0.7599999904632568,COMB
AUPRC,0.8708333373069763,COMB
AUROC,0.6666666269302368,COMB
AUPRC,,COMB
AUROC,0.7916666865348816,COMB
AUPRC,0.5944444537162781,COMB
AUROC,0.7142857313156128,COMB
AUPRC,,COMB
AUROC,0.7083333730697632,COMB
AUPRC,0.8600000143051147,COMB
AUROC,0.8333333134651184,COMB
AUPRC,0.8083333373069763,COMB
AUROC,0.9200000166893004,COMB
AUPRC,1.0,COMB
AUROC,0.7916666865348816,COMB
AUPRC,,COMB
AUROC,0.8333333134651184,COMB
AUPRC,1.0,COMB
AUROC,0.9600000381469728,COMB
AUPRC,1.0,COMB
AUROC,0.8095238208770752,COMB
AUPRC,0.5833333730697632,COMB
AUROC,0.5600000023841858,COMB
AUPRC,0.636904776096344,COMB
AUROC,0.5714285373687744,COMB
AUPRC,0.6333333253860474,COMB
AUROC,0.8799999952316284,COMB
AUPRC,0.8708333373069763,COMB
AUROC,0.8333333730697632,COMB
AUPRC,1.0,COMB
AUROC,0.7916666865348816,COMB
AUPRC,0.7111111283302307,COMB
AUROC,0.9166666269302368,COMB
AUPRC,0.9633333683013916,COMB
AUROC,0.5199999809265137,COMB
AUPRC,,COMB
AUROC,0.7083333730697632,COMB
AUPRC,,COMB
AUROC,0.9583333134651184,COMB
AUPRC,1.0,COMB
AUROC,0.375,COMB
AUPRC,,COMB
AUROC,0.7083333134651184,COMB
AUPRC,0.7425000071525574,COMB
AUROC,0.7083333730697632,COMB
AUPRC,0.7111111283302307,COMB
AUROC,0.8571428656578064,COMB
AUPRC,1.0,COMB
AUROC,0.6875,COMB
AUPRC,,COMB
AUROC,0.6666666269302368,COMB
